pid,email_21,messenger_21,blog_21,cloud_21,call_check_21,service_purchase_21,money_transfer_21,cradit_card_21,agency_purchase_21,machine_purchase_21,phone_owner_21,data_21,dmb_21,agency_21,voice_service_21,data_service_21,use_date_21,brand_21,age_21,school_21,marry_21,salary_21,job_21,religion_21,email_22,messenger_22,blog_22,cloud_22,call_check_22,service_purchase_22,money_transfer_22,cradit_card_22,agency_purchase_22,machine_purchase_22,phone_owner_22,data_22,dmb_22,agency_22,voice_service_22,data_service_22,use_date_22,brand_22,age_22,school_22,marry_22,salary_22,job_22,religion_22,email_23,messenger_23,blog_23,cloud_23,call_check_23,service_purchase_23,money_transfer_23,cradit_card_23,agency_purchase_23,machine_purchase_23,phone_owner_23,data_23,dmb_23,agency_23,voice_service_23,data_service_23,use_date_23,brand_23,age_23,school_23,marry_23,salary_23,job_23,religion_23
10001,1,1,2,2,2,1,2,2,32,15,4,3,2,2,1,2,21,1,6,4,2,10,1,1,1,1,2,2,2,8,2,2,51,17,1,3,2,2,1,2,24,1,6,4,2,9,1,1,1,1,2,2,2,7,2,1,69,0,1,3,1,2,1,1,36,1,6,4,2,9,1,2
10002,1,1,2,2,2,2,2,2,32,15,4,3,2,2,1,2,21,1,5,4,2,1,2,1,1,1,1,2,2,2,1,1,45,27,4,4,2,2,1,1,31,3,6,4,2,1,2,1,2,1,2,2,2,2,1,1,47,0,4,4,1,2,1,1,48,1,6,4,2,1,2,2
10003,1,1,1,2,2,5,2,1,29,0,1,3,2,2,1,2,34,3,3,4,1,6,1,1,2,1,2,1,2,1,2,1,32,0,4,4,1,2,1,1,5,1,3,4,1,7,1,2,1,1,2,2,2,2,2,1,69,0,1,4,1,2,1,1,17,1,3,4,1,7,1,2
10004,1,1,2,2,1,2,2,2,40,0,1,4,2,3,1,2,9,2,3,4,1,1,2,1,1,1,2,2,2,1,2,2,36,0,4,4,2,2,1,1,9,1,3,4,1,1,2,2,1,1,2,2,2,2,2,1,47,25,1,4,1,2,1,1,24,1,3,4,1,1,2,2
20001,1,1,2,2,2,1,2,2,59,17,1,4,2,1,1,2,3,1,6,4,2,9,1,1,1,1,2,2,2,1,2,2,47,17,1,4,2,3,1,1,15,1,6,4,2,9,1,2,1,1,2,2,2,2,2,1,69,0,1,4,1,1,1,1,33,1,6,4,2,10,1,2
20003,1,1,2,2,2,1,1,1,59,17,1,4,2,1,1,2,3,1,3,5,1,8,1,1,1,1,2,2,2,1,1,1,75,0,1,4,2,3,1,1,15,1,3,5,1,8,1,2,1,1,2,2,2,2,1,1,79,0,1,4,1,1,1,1,33,1,4,5,1,9,1,2
30001,1,1,2,2,1,1,2,2,38,0,1,2,1,2,2,1,15,1,6,4,2,10,1,2,1,1,2,2,1,1,2,2,28,0,1,2,1,2,1,1,25,1,6,4,2,10,1,2,1,1,2,2,2,1,2,2,28,0,1,2,2,2,1,1,37,1,6,4,2,11,1,2
30002,1,1,2,2,1,2,1,1,24,11,4,2,2,2,1,2,6,1,5,3,2,1,2,1,1,1,2,2,1,2,1,1,4,11,4,2,2,2,1,2,18,1,5,3,2,1,2,2,1,1,2,2,2,1,1,1,3,11,4,2,2,2,1,2,30,1,5,3,2,1,2,2
30003,1,1,2,2,1,8,2,1,32,19,4,4,2,2,1,1,13,1,2,4,1,1,2,1,1,1,2,2,1,8,2,1,38,21,4,4,2,2,1,1,25,1,3,4,1,1,2,2,1,1,2,2,2,8,2,1,43,63,4,4,2,2,1,1,8,1,3,4,1,1,2,2
30004,1,1,2,2,1,1,2,2,7,8,4,2,2,2,2,1,13,1,2,2,1,1,2,1,2,1,2,2,1,1,2,2,25,8,4,2,2,2,1,1,25,1,2,2,1,1,2,2,2,1,2,2,1,1,2,2,23,14,4,4,2,2,1,1,8,1,2,2,1,1,2,2
50001,1,1,2,2,2,1,2,2,25,0,1,2,2,1,1,2,9,1,5,4,2,11,1,1,1,1,2,2,2,1,2,2,23,0,1,3,2,1,1,2,8,1,6,4,2,11,1,1,1,1,2,2,2,1,2,2,11,0,1,4,2,4,1,2,3,1,6,4,2,15,1,1
50002,1,1,2,2,1,2,2,1,25,0,4,2,2,1,1,2,9,1,5,4,2,1,2,2,1,1,2,2,2,1,2,1,23,0,4,2,2,1,1,2,22,1,5,4,2,1,2,2,1,1,2,2,1,1,2,1,9,0,4,3,2,1,1,2,34,1,5,4,2,1,2,2
50003,1,1,2,2,1,5,2,2,23,0,4,2,2,1,1,2,21,1,2,2,1,1,2,2,2,1,2,2,2,8,1,2,24,0,4,2,2,1,1,2,8,1,2,3,1,1,2,2,1,1,2,2,1,7,1,1,24,0,4,2,2,1,2,2,20,1,2,3,1,1,2,2
50004,1,1,2,2,1,8,2,2,14,0,4,2,2,1,2,2,21,1,2,2,1,1,2,2,2,1,2,2,2,8,1,2,24,0,4,2,2,1,1,2,8,1,2,2,1,1,2,2,1,1,2,2,1,1,1,2,24,0,4,2,2,1,2,2,20,1,2,3,1,1,2,2
60001,1,1,2,2,2,7,1,1,32,0,1,2,1,1,1,2,6,1,6,4,2,11,1,2,1,1,2,2,2,1,1,1,43,0,1,2,1,1,1,2,18,1,6,4,2,11,1,2,1,1,2,2,2,1,1,1,36,0,1,4,2,1,1,2,5,1,6,4,2,11,1,2
60002,1,1,2,1,1,2,2,2,23,0,1,2,1,1,1,2,28,1,5,3,2,7,1,2,2,1,2,2,1,2,2,2,51,0,1,2,1,1,1,2,4,1,5,3,2,5,1,2,2,2,2,2,1,2,1,2,32,0,1,2,2,1,1,2,16,1,6,3,2,7,1,2
60003,1,1,1,1,2,1,2,1,25,0,4,2,1,1,1,2,32,1,3,4,1,1,2,2,1,1,1,2,2,1,1,1,26,0,4,4,2,1,1,2,6,1,3,4,1,1,2,2,2,1,1,2,2,6,1,1,26,0,4,4,1,1,1,2,18,1,3,4,1,2,2,2
60004,1,1,2,2,1,2,1,1,31,0,4,2,1,1,1,2,27,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,66,0,4,4,2,1,1,2,3,1,2,3,1,1,2,2,2,1,2,2,2,1,1,1,25,0,4,2,1,1,1,2,16,1,2,3,1,1,2,2
100001,1,1,2,1,1,1,1,2,45,0,1,2,2,2,1,1,10,3,5,4,2,8,1,1,1,1,2,2,2,2,1,1,60,0,1,2,2,2,1,1,18,3,5,4,2,11,1,1,1,1,2,1,1,2,1,1,31,26,1,3,2,2,2,2,12,3,5,4,2,8,1,1
100002,1,1,2,2,1,1,1,2,45,0,1,2,2,2,1,1,46,1,5,5,2,11,1,1,1,1,2,2,2,2,1,1,35,0,1,2,1,2,1,1,42,1,5,5,2,11,1,1,1,1,2,2,1,2,1,1,34,15,1,3,2,2,1,1,12,3,5,5,2,9,1,1
100003,2,1,2,2,1, , , ,20,0,4,2,2,2,2,2,10,3,2,1,1,1,2,1,2,1,2,2,2, , , ,10,0,4,2,2,4,1,2,17,3,2,1,1,1,2,1,2,1,2,2,2,7,2,2,9,0,4,2,2,4,2,2,24,3,2,2,1,1,2,1
130001,2,1,2,2,2,7,2,2,25,0,4,3,1,2,1,2,29,1,8,2,2,1,2,2,2,1,2,2,2,8,2,2,35,0,4,3,1,1,1,2,8,1,8,2,2,1,2,2,1,1,2,2,2,6,2,2,25,0,4,3,1,1,1,2,22,1,8,2,2,1,2,1
130002,2,1,2,2,2,7,2,2,35,0,4,3,1,2,1,2,31,2,8,2,2,4,1,2,2,1,2,2,2,7,2,2,35,0,1,3,1,1,1,2,25,1,8,2,2,4,1,2,2,1,2,2,2,7,2,2,25,0,1,3,1,1,1,2,39,1,8,2,2,4,1,1
160001,2,1,2,2,2,7,2,2,22,0,1,3,1,1,1,2,33,1,8,2,2,4,1,1,2,1,2,2,2,6,2,2,35,6,1,3,1,1,2,2,24,1,8,2,2,6,1,2,2,1,2,2,2,1,1,2,22,0,1,3,1,2,2,2,37,2,8,2,2,6,1,1
160002,2,1,2,2,2,7,2,2,25,0,4,3,1,1,1,2,28,1,7,2,2,1,2,1,2,1,2,2,1,7,2,2,35,6,1,3,1,1,2,2,24,1,8,2,2,1,2,2,2,1,2,2,2,7,2,2,18,0,4,3,2,2,2,2,37,1,8,2,2,1,2,1
180001,1,1,2,2,2,1,2,2,45,0,1,3,2,1,1,2,18,1,6,3,4,5,1,1,1,1,2,2,1,1,1,1,35,0,1,3,1,1,1,2,28,1,6,3,4,5,1,1,2,1,2,2,2,8,1,1,24,0,1,3,1,1,2,2,41,1,6,3,4,5,1,1
220001,2,2,2,2,1,1,2,2,45,25,1,4,1,2,1,1,12,1,7,3,2,6,1,2,2,1,2,2,2,2,2,2,55,25,1,3,1,3,1,2,12,1,8,3,2,7,1,2,2,1,2,2,1,7,2,2,40,20,1,3,1,3,1,1,18,1,8,3,2,7,1,2
220002,1,2,2,2,2,7,2,2,45,30,1,3,1,3,1,1,16,1,7,3,2,2,2,2,1,1,2,2,1,2,2,1,60,25,1,3,1,3,1,2,18,1,7,3,2,2,2,2,2,1,2,2,1,7,2,2,40,20,1,3,1,3,1,2,17,1,7,3,2,2,2,2
260001,1,1,2,2,2,1,2,2,48,30,1,4,1,1,1,1,12,1,7,4,2,12,1,2,1,1,2,2,2,1,2,2,60,20,1,4,1,1,1,2,14,1,7,4,2,11,1,2,1,1,2,2,2,1,2,2,55,28,1,3,2,3,1,2,28,1,7,4,2,10,1,2
260002,1,1,2,2,2,1,2,2,50,25,1,3,1,3,1,1,14,1,6,3,2,2,2,2,1,1,2,2,2,1,2,1,48,20,1,3,1,3,1,2,18,1,6,3,2,2,2,2,1,1,2,2,2,1,2,1,60,20,1,3,1,3,1,2,24,1,7,3,2,2,2,2
260003,1,1,1,1,1,1,1,1,55,30,1,4,1,2,1,1,17,1,3,4,1,7,1,2,1,1,2,2,2,1,1,1,60,25,1,4,1,1,1,1,14,1,4,4,1,6,1,2,1,1,2,2,2,1,1,1,60,30,1,4,1,1,1,2,26,1,4,4,1,8,1,2
260004,1,1,1,1,1,1,1,1,55,30,1,4,1,2,1,1,6,1,3,4,1,8,1,2,1,1,2,1,2,1,1,1,58,25,1,4,1,2,1,1,14,1,3,4,1,7,1,2,1,1,2,2,2,2,1,1,60,50,1,4,1,1,1,2,24,1,3,4,1,8,1,2
270001,2,1,2,2,2,1,2,2,48,0,1,2,1,2,2,2,42,1,7,3,2,4,1,2,2,2,2,2,2,1,2,2,40,25,1,3,1,3,1,2,12,1,7,3,2,5,1,2,2,2,2,2,1,7,2,2,40,20,1,3,1,3,1,2,12,1,7,3,2,6,1,2
270002,2,1,2,2,2,6,2,2,40,0,1,2,1,2,2,2,18,1,6,3,2,7,1,2,1,1,2,2,2,1,2,2,45,20,1,4,1,3,1,2,12,1,6,3,2,6,1,2,2,1,2,2,2,7,2,2,45,15,1,3,1,3,1,2,12,1,6,3,2,7,1,2
290001,2,2,2,2,2,7,2,2,17,0,4,3,1,3,1,2,19,2,7,3,2,1,2,1,1,1,2,2,2,7,2,2,38,0,4,3,1,1,1,1,13,1,7,3,2,1,2,1,2,1,2,2,2,6,2,2,35,0,4,3,1,1,2,2,25,1,7,3,2,1,2,2
290002,2,2,2,2,2,7,2,2,36,0,1,3,1,3,1,2,15,2,6,3,2,7,1,2,1,1,2,2,2,4,2,2,61,10,1,4,1,1,1,1,11,1,7,3,2,7,1,1,2,1,2,2,2,7,2,2,63,0,1,4,1,1,1,1,23,1,7,3,2,7,1,1
290003,1,1,2,2,2,5,1,1,63,5,1,4,1,1,1,2,9,1,4,4,1,7,1,2,1,1,2,1,2,4,1,1,98,0,1,4,1,1,1,1,10,1,4,4,1,7,1,1,1,1,2,2,2,1,1,1,64,12,1,4,1,1,1,1,22,1,4,4,1,7,1,1
300001,2,1,2,2,2,7,2,2,34,7,1,3,2,1,2,2,17,1,6,3,3,7,1,2,1,1,2,2,2,4,1,2,52,0,1,4,1,3,1,1,22,1,6,3,3,7,1,1,2,1,2,2,2,1,1,2,52,0,4,4,1,1,2,2,34,1,7,3,3,1,2,1
300002,1,2,2,2,2,1,1,1,38,7,1,3,1,1,1,2,14,1,4,4,1,6,1,2,1,1,2,1,2,4,1,1,82,0,1,4,1,3,1,1,15,1,4,4,1,7,1,1,1,1,2,2,2,6,1,1,69,0,1,4,1,1,1,1,15,1,4,4,1,7,1,1
300003,1,1,2,2,2,2,1,1,48,8,1,4,1,1,2,2,10,1,4,4,1,5,1,2,1,1,2,1,2,4,1,1,82,0,1,4,1,3,1,1,27,1,4,4,1,5,1,1,1,1,2,2,2,6,1,1,78,0,1,4,2,1,1,1,27,3,4,4,1,5,1,1
300004,1,1,2,2,2,2,1,1,61,5,1,4,1,1,1,2,14,1,4,3,1,5,1,2,1,1,2,1,2,4,1,1,72,0,1,4,1,3,1,1,8,1,4,3,1,5,1,1,1,1,2,2,2,5,1,1,74,5,1,4,2,1,1,1,8,3,4,3,1,5,1,1
310001,1,2,2,2,2,7,2,2,37,0,1,3,1,1,1,2,27,1,7,3,2,7,1,1,1,1,2,2,2,7,2,2,55,0,1,3,1,1,1,1,11,1,7,3,2,7,1,1,2,1,2,2,2,7,2,2,75,0,1,3,1,1,1,1,23,1,7,3,2,7,1,1
310002,2,2,2,2,2,7,2,2,37,0,1,3,1,1,1,2,22,1,6,3,2,5,1,1,1,1,2,2,2,1,2,2,55,0,1,3,1,1,1,1,11,1,6,3,2,5,1,1,2,1,2,2,2,6,2,2,69,0,1,3,1,1,1,1,23,1,7,3,2,5,1,1
310003,1,1,2,2,2,6,1,1,39,0,1,3,1,1,1,2,22,1,3,4,1,7,1,2,1,1,2,1,2,4,1,1,88,0,1,4,1,1,1,1,14,1,4,4,1,7,1,1,1,1,2,2,1,5,1,1,68,10,1,4,2,1,1,1,26,3,4,4,1,7,1,1
310004,1,1,2,2,2,2,1,1,39,0,1,3,1,1,1,2,26,1,3,4,1,5,1,2,1,1,2,1,2,4,1,1,88,0,1,4,1,1,1,1,16,1,3,4,1,5,1,1,1,1,2,2,1,1,1,1,79,10,1,4,1,1,1,1,28,1,3,4,1,5,1,1
320003,1,2,2,2,2,7,2,2,38,7,1,3,1,3,1,2,15,1,6,3,1,1,2,2,1,1,2,2,2,4,2,2,38,0,1,3,1,3,1,2,31,1,6,3,1,1,2,2,2,1,2,2,2,6,2,2,35,0,4,3,1,1,2,2,31,1,6,3,1,6,1,1
340001,2,2,2,2,2,7,2,2,36,0,1,3,1,1,2,2,33,1,6,4,2,5,1,2,2,2,2,2,2,7,1,1,50,0,1,4,1,2,1,1,12,1,6,4,2,5,1,1,2,1,2,2,2,6,1,1,69,0,1,4,1,1,2,2,12,1,6,4,2,5,1,1
340002,2,2,2,2,2,2,2,2,36,0,1,3,1,1,2,2,26,1,6,3,2,3,1,1,1,1,2,2,2,7,1,1,51,0,1,4,1,1,1,1,14,1,6,3,2,3,1,1,2,1,2,2,2,1,1,1,65,0,1,4,1,1,2,2,14,1,6,3,2,3,1,1
350001,2,2,2,2,2,7,2,2,21,0,1,3,1,1,2,2,26,1,7,3,2,4,1,2,1,1,2,2,2,7,2,2,38,0,1,3,1,1,1,2,16,1,7,3,2,5,1,1,2,1,2,2,2,1,2,2,45,0,1,3,1,3,2,2,28,1,7,3,2,4,1,1
350002,1,1,2,2,2,5,1,1,61,0,1,4,1,1,2,2,11,1,4,4,1,7,1,2,1,1,2,2,2,4,1,1,98,10,1,4,1,1,1,1,14,1,4,4,1,7,1,1,2,1,2,2,2,7,1,1,45,0,4,3,1,3,2,2,28,1,4,4,2,7,1,1
350003,2,2,2,2,2,7,2,2,21,0,4,3,1,1,2,2,26,1,7,3,2,1,2,1,2,1,2,2,2,7,2,2,38,0,4,3,1,1,1,2,16,1,7,3,2,1,2,1,1,1,2,2,1,1,1,1,79,0,1,4,1,3,1,1,26,1,7,3,2,7,1,1
360001,1,1,2,2,2,2,1,1,72,12,1,4,1,1,1,1,3,1,5,4,2,8,1,2,2,1,2,2,1,1,1,2,68,10,1,4,1,1,1,1,12,1,6,4,2,8,1,2,1,1,2,2,2,7,1,2,68,12,1,4,2,1,1,1,2,3,6,4,2,13,1,2
360002,1,1,2,2,2,1,2,2,30,0,4,3,1,2,2,2,27,1,5,4,2,1,2,2,2,1,2,2,1,1,1,1,65,10,1,4,1,2,1,1,8,1,5,4,2,1,2,2,1,1,2,2,1,7,1,1,45,10,4,4,2,1,1,2,24,1,5,4,2,1,2,2
370001,1,1,2,1,1,6,2,2,65,10,1,4,1,1,2,2,8,1,6,4,2,8,1,2,2,1,2,2,1,1,1,1,68,10,1,4,1,1,1,1,12,1,6,4,2,8,1,2,1,1,2,1,2,5,1,2,68,13,1,4,2,3,1,1,4,3,6,4,2,9,1,2
370002,2,1,2,2,1,1,2,2,58,10,1,4,1,1,2,2,6,1,6,3,2,7,1,2,2,1,2,2,1,1,1,1,68,10,1,4,1,2,1,1,12,1,6,3,2,7,1,2,1,1,2,2,1,1,1,1,59,10,4,4,2,2,1,1,3,3,6,3,2,6,1,2
380001,1,1,1,1,1,1,2,2,65,10,1,4,1,2,2,2,8,1,5,4,2,8,1,2,2,1,2,2,1,1,1,1,65,10,1,4,1,1,1,1,12,1,5,4,2,8,1,2,1,1,2,2,1,1,1,1,63,10,1,4,2,2,1,1,21,4,5,4,2,10,1,2
380002,1,1,1,1,1,1,2,2,65,10,1,4,1,1,2,2,5,1,5,5,2,8,1,2,2,1,2,2,1,1,1,1,60,10,1,4,1,2,1,1,8,1,5,5,2,11,1,2,1,1,1,1,1,7,1,1,62,8,4,4,2,3,1,1,25,1,5,5,2,8,1,2
390001,1,1,2,2,2,1,2,2,69,20,1,4,1,1,1,1,7,1,6,3,2,1,2,1,1,1,2,2,2,2,2,1,22,38,1,4,1,1,1,1,8,1,6,3,2,1,2,1,1,1,2,2,2,1,2,1,54,22,1,4,1,1,1,1,24,1,6,3,2,1,2,1
390002,1,1,1,1,1,5,1,1,40,0,4,2,2,3,2,2,36,3,3,4,1,6,1,1,1,1,1,1,1,5,1,1,41,45,4,4,2,1,2,2,6,3,3,4,1,6,1,1,1,1,1,1,1,7,1,1,41,0,4,4,2,1,2,2,18,3,3,4,1,7,1,1
390003,1,1,2,2,2,1,2,2,38,40,4,4,2,1,1,1,7,3,3,4,1,1,2,1,1,1,2,2,2,4,1,2,38,40,4,4,2,1,1,1,19,3,3,4,1,1,2,1,2,1,2,2,2,1,1,2,44,0,1,4,2,1,1,1,31,3,3,4,1,6,1,1
390004,1,1,2,2,1,1,1,2,50,40,1,4,1,1,1,1,12,1,6,4,2,18,1,1,1,1,2,2,2,8,1,2,50,40,1,4,1,1,1,1,26,1,6,4,2,18,1,1,1,1,2,2,2,10,1,2,44,0,1,4,1,1,2,2,38,1,6,4,2,5,2,1
400001,1,1,2,2,2,7,2,2,34,15,1,3,1,3,1,1,12,1,7,3,2,6,1,1,2,1,2,2,2,1,2,2,32,0,1,2,1,3,1,2,24,1,7,3,2,6,1,1,2,1,2,2,2,7,2,2,34,0,1,2,2,3,2,2,36,2,7,3,2,7,1,1
400002,1,1,2,2,2,7,2,2,34,15,4,2,1,3,1,1,12,1,7,2,2,1,2,1,2,1,2,2,2,6,2,2,35,0,1,2,1,2,1,2,3,1,7,2,2,1,2,1,2,1,2,2,2,7,2,2,30,0,1,2,2,3,2,2,12,2,7,2,2,1,2,1
410002,1,1,2,2,2,1,2,2,56,26,1,4,1,2,1,1,7,1,6,3,4,3,1,1,2,1,2,2,2,7,2,2,57,0,1,4,1,2,1,1,24,1,6,3,4,4,1,1,2,1,2,2,2,7,2,2,75,0,1,4,1,2,1,1,36,1,6,3,4,1,2,1
410003,1,1,2,2,2,1,2,2,38,20,4,3,2,2,1,1,12,3,2,3,1,1,2,1,2,1,2,2,2,1,2,2,35,0,4,3,2,2,1,1,24,3,2,3,1,1,2,2,2,1,2,2,2,1,1,1,35,20,4,4,2,2,2,2,3,3,2,4,1,1,2,2
420001,1,1,2,2,1,8,2,2,56,0,1,4,1,2,1,1,12,1,5,3,2,7,1,1,1,1,2,2,2,8,2,2,88,25,1,4,1,2,1,1,2,1,5,3,2,7,1,2,1,1,2,2,2,1,2,2,78,30,1,4,2,2,1,1,9,1,5,3,2,9,1,1
420002,1,1,2,2,1,2,1,1,87,45,1,4,2,2,1,1,14,1,5,3,2,3,1,2,1,1,2,2,1,2,1,1,100,38,4,4,1,2,1,1,24,1,5,3,2,1,2,2,1,1,2,2,2,2,1,1,105,70,4,4,2,2,1,1,14,1,5,3,2,1,2,2
420003,1,1,2,2,1,1,2,2,85,45,4,4,2,2,1,1,3,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,35,0,4,3,1,2,2,2,15,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,53,0,4,4,2,2,1,1,29,1,2,3,1,1,2,2
430001,1,2,2,2,2,1,2,2,65,20,1,4,1,1,1,1,12,1,5,3,2,8,1,2,1,1,2,2,1,2,2,2,65,0,4,4,1,1,1,1,24,1,5,3,2,6,1,2,1,2,2,2,2,1,1,1,65,0,4,4,1,1,1,1,36,1,5,3,2,7,1,2
430002,1,2,2,2,1,1,2,2,65,20,1,4,1,1,1,1,24,1,5,3,2,8,1,2,2,1,2,2,2,10,2,2,75,120,1,4,1,1,1,1,29,1,5,3,2,4,1,2,1,1,2,2,2,1,1,1,65,10,1,4,1,1,1,1,2,1,5,3,2,5,1,2
430003,2,2,2,2,1, , , ,28,0,4,2,2,1,2,2,36,1,2,1,1,1,2,2,2,1,2,2,2,8,2,2,42,0,4,4,1,1,2,2,6,1,2,2,1,1,2,2,1,1,2,2,2,7,2,2,45,0,4,4,2,1,2,2,18,1,2,2,1,1,2,2
430004,2,2,2,2,2, , , ,18,0,4,2,2,1,2,2,10,1,2,1,1,1,2,2,2,2,2,2,1, , , ,12,0,4,2,1,1,2,2,22,1,2,1,1,1,2,2,2,1,2,2,2, , , ,19,0,4,2,1,1,2,2,34,1,2,1,1,1,2,2
440001,2,1,2,2,2,6,2,2,24,6,1,2,1,1,2,2,11,1,6,4,2,1,2,2,2,1,2,2,2,6,2,2,31,6,1,2,1,1,2,2,24,2,7,4,2,3,2,2,2,1,2,2,2,1,2,2,23,0,1,2,1,1,2,2,36,1,7,4,2,3,2,2
440002,2,1,2,2,2,6,2,2,19,0,1,2,1,3,2,2,25,1,6,3,2,1,2,2,2,1,2,2,2,6,2,2,15,0,4,2,2,3,2,2,37,1,6,3,2,1,2,2,2,1,2,2,2,6,2,2,15,0,5,2,1,3,2,2,7,1,6,3,2,1,2,2
440003,1,1,2,2,2,2,2,1,20,15,1,2,2,1,1,2,12,3,4,4,1,6,1,2,1,1,2,2,2,2,2,1,35,15,1,2,2,1,2,2,24,3,4,4,1,6,1,2,1,1,2,2,2,1,2,1,35,0,1,2,2,1,1,2,36,3,4,4,1,6,1,2
440004,1,1,2,2,1,2,1,1,41,42,1,4,1,3,1,2,25,1,3,4,1,6,1,2,1,1,2,2,1,2,1,1,20,0,1,4,1,4,2,2,36,2,3,4,1,6,1,2,1,1,2,2,1,1,1,1,23,0,1,4,1,4,2,1,48,1,4,4,1,6,1,2
460001,1,1,2,2,2,7,1,1,60,24,1,3,1,3,2,2,36,1,5,4,2,9,1,2,1,1,2,2,1,7,1,1,65,7,1,4,2,2,1,1,14,1,6,4,2,10,1,1,1,1,2,2,1,1,1,1,75,20,1,4,1,3,1,1,4,1,6,4,2,10,1,2
460002,1,1,2,2,2,1,1,1,45,30,1,3,1,3,2,2,42,1,5,3,2,7,1,1,1,1,2,2,1,1,1,1,65,0,1,3,2,3,1,2,12,1,5,3,2,6,1,2,1,1,2,1,1,1,1,1,60,18,1,4,1,3,1,1,8,1,5,3,2,7,1,2
470001,2,1,2,2,2,7,2,2,65,15,1,3,1,1,1,1,14,1,6,3,2,8,1,2,2,1,2,2,2,1,2,2,65,0,1,3,1,2,2,1,16,1,7,3,2,9,1,2,2,1,2,2,2,1,2,2,60,10,1,4,1,2,1,1,31,1,7,3,2,8,1,2
470003,1,1,2,2,2,7,1,2,60,10,1,4,1,1,1,1,12,1,6,3,2,1,1,2,2,1,2,2,2,1,1,2,15,10,1,4,1,2,2,1,15,1,6,3,2,1,2,2,2,1,2,2,2,1,1,2,58,10,1,4,1,2,1,1,27,1,6,3,2,1,2,2
480001,2,1,2,2,1,7,2,2,40,10,1,3,1,3,2,2,14,1,8,2,2,4,2,2,1,1,2,2,1,7,2,2,55,10,1,4,2,1,1,2,6,1,8,2,2,5,1,2,2,1,2,2,1,7,2,2,39,5,1,4,2,1,1,2,12,1,8,2,2,5,1,2
480002,2,1,2,2,2,7,2,2,35,0,1,2,2,2,2,2,16,1,8,2,2,1,2,2,2,1,2,2,2,7,2,1,50,10,4,3,1,1,2,2,28,1,8,2,2,4,1,2,1,1,2,2,2,8,1,1,43,0,1,4,2,1,1,2,5,1,8,2,2,4,1,2
490001,2,1,2,2,1,7,2,2,85,15,1,4,1,3,1,1,7,1,6,3,2,10,1,2,1,1,2,2,1,6,1,1,65,15,1,4,1,1,1,1,8,1,6,3,2,10,1,2,1,1,2,2,2,8,1,1,65,10,1,4,1,3,1,1,14,1,6,3,2,10,1,1
490003,1,1,2,2,2,1,1,1,60,10,1,4,1,1,1,1,12,1,3,4,1,1,2,2,1,1,2,1,1,1,1,1,75,18,1,4,1,1,2,1,12,1,3,4,1,5,1,2,1,1,2,2,2,1,1,1,60,10,1,4,1,3,1,1,18,1,3,4,1,6,1,2
500001,2,1,2,2,2,7,2,2,65,15,1,3,1,3,1,2,14,1,7,3,2,5,1,2,2,2,2,2,1,1,2,2,55,10,1,3,1,2,1,1,30,1,7,3,2,5,1,2,2,1,2,2,1,7,1,1,50,10,1,4,2,1,1,2,5,1,7,3,4,5,1,1
520001,1,1,2,2,2,7,2,2,60,8,1,4,1,1,2,2,7,1,7,3,2,7,1,2,1,1,2,2,2,1,1,2,70,15,1,3,1,2,2,1,18,1,7,3,2,7,1,2,1,1,2,2,1,1,1,1,70,7,1,4,2,2,1,1,3,1,7,3,2,8,1,2
520002,1,1,2,2,1,6,2,1,60,0,1,4,1,1,2,2,7,1,5,3,2,5,1,2,1,1,2,2,2,1,1,1,65,0,1,4,1,1,1,1,12,1,6,3,2,5,1,2,2,1,2,2,1,7,2,2,35,7,4,4,2,2,1,2,24,1,6,3,2,1,1,2
530001,2,1,2,2,2,7,2,2,30,0,1,2,1,1,2,2,24,1,8,2,2,5,1,2,2,2,2,2,2,7,2,2,35,0,1,2,1,1,2,2,24,1,8,2,2,5,1,2,2,1,2,2,2,6,2,2,45,0,1,2,2,3,1,1,36,1,8,2,2,5,1,2
530002,2,2,2,2,2,7,2,2,50,10,1,3,1,1,2,2,18,1,8,2,2,1,2,2,2,2,2,2,2,10,2,2,35,0,1,3,1,1,2,2,30,1,8,2,2,1,2,2,2,1,2,2,1,10,2,2,40,0,1,3,1,3,1,1,6,1,8,2,2,1,2,2
530003,2,1,2,2,2,1,2,2,70,10,1,4,1,1,1,1,12,1,6,3,2,8,1,2,1,1,2,1,1,1,1,1,65,0,4,4,2,1,1,1,7,1,6,3,2,8,1,2,2,1,2,2,2,1,1,1,65,13,1,4,2,1,1,1,18,1,6,3,2,9,1,2
530004,2,1,2,2,1,1,1,1,70,15,1,4,1,1,1,1,7,1,5,3,2,5,1,2,1,1,2,2,1,1,1,1,55,0,4,4,1,1,1,1,9,1,6,3,2,4,1,2,2,1,2,2,2,1,1,1,50,0,1,4,2,1,1,2,21,1,6,3,2,5,1,2
540001,2,2,2,2,2,7,2,2,30,0,1,2,1,2,2,1,24,1,8,2,2,11,1,2,2,2,2,2,2,1,2,2,35,0,1,3,1,2,2,2,18,1,8,2,2,4,1,2,2,1,2,2,1,1,2,2,46,10,1,4,2,1,1,2,3,1,8,2,2,5,2,2
